dataset_id,tier,scale,algorithm,track,status,n_runs,build_time_s,qps,lat_p50_ms,lat_p95_ms,lat_p99_ms,rss_mb,index_bytes,bytes_per_insert,recall_at_k,recall_at_k_id_overlap,recall_at_k_tie_aware,update_latency_ms,energy_proxy,error_bits_min_hamming,error_bits_prefix_gap,hamming_audit_gap,online_accuracy,online_f1,adaptation_lag_steps
core:random,edge,1M,core256/insert,core,ok,5,0.16945043659999998,1180690.9782936,0.00083,0.0009339999999999999,0.0011274,58.17578125,12699957.2,63.49978599999999,,,,,,,,,,,
core:random,edge,1M,core256/match_batch,core,ok,5,0.0022681848,88225160.582442,1.1341e-05,1.1341e-05,1.1341e-05,58.17578125,12699957.2,63.49978599999999,,,,,,,254.999683,,,,
core:random,edge,1M,core256/predict,core,ok,5,0.008229765,24302698.313444998,2.16e-05,3.7e-05,5e-05,58.17578125,12699957.2,63.49978599999999,,,,,,,,,,,
core:random,edge,1M,core256/probe,core,ok,5,0.008234385799999999,24289213.929347,2.1e-05,3.7e-05,5.04e-05,58.17578125,12699957.2,63.49978599999999,,,,,,,254.999683,,,,
core:random,server,1M,core256/insert,core,ok,5,0.1801282442,1119940.8984344,0.0008253999999999999,0.0010406,0.0012752,58.17578125,12699957.2,63.49978599999999,,,,,,,,,,,
core:random,server,1M,core256/match_batch,core,ok,5,0.0023272184,86350424.3097772,1.1636199999999999e-05,1.1636199999999999e-05,1.1636199999999999e-05,58.17578125,12699957.2,63.49978599999999,,,,,,,254.999683,,,,
core:random,server,1M,core256/predict,core,ok,5,0.0085113124,23544817.6829058,2.3e-05,3.9e-05,5.44e-05,58.17578125,12699957.2,63.49978599999999,,,,,,,,,,,
core:random,server,1M,core256/probe,core,ok,5,0.0085294768,23502186.8885516,2.2199999999999998e-05,3.82e-05,5.34e-05,58.17578125,12699957.2,63.49978599999999,,,,,,,254.999683,,,,
core:replay,desktop,1M,core256/insert,core,ok,5,0.16169208799999998,1237963.6880311999,0.0007968,0.0009289999999999999,0.0011627999999999999,58.17578125,12700022.0,63.50010999999999,,,,,,,,,,,
core:replay,desktop,1M,core256/match_batch,core,ok,5,0.0022038556,90886101.3279856,1.1019200000000001e-05,1.1019200000000001e-05,1.1019200000000001e-05,58.17578125,12700022.0,63.50010999999999,,,,,,,254.99835,,,,
core:replay,desktop,1M,core256/predict,core,ok,5,0.008104838,24688315.038387798,2.1000000000000002e-05,3.66e-05,5.08e-05,58.17578125,12700022.0,63.50010999999999,,,,,,,,,,,
core:replay,desktop,1M,core256/probe,core,ok,5,0.0082668748,24196109.418148,2.12e-05,3.76e-05,5.2000000000000004e-05,58.17578125,12700022.0,63.50010999999999,,,,,,,254.99835,,,,
core:replay,edge,1M,core256/insert,core,ok,5,0.1602628758,1251268.0729422,0.0007728,0.0010102,0.0012566,58.17578125,12700022.0,63.50010999999999,,,,,,,,,,,
core:replay,edge,1M,core256/match_batch,core,ok,5,0.002202522,91377371.66788921,1.10126e-05,1.10126e-05,1.10126e-05,58.17578125,12700022.0,63.50010999999999,,,,,,,254.99835,,,,
core:replay,edge,1M,core256/predict,core,ok,5,0.0081684542,24527077.6089834,2.1000000000000002e-05,3.68e-05,5.020000000000001e-05,58.17578125,12700022.0,63.50010999999999,,,,,,,,,,,
core:replay,edge,1M,core256/probe,core,ok,5,0.0082720742,24179410.6489316,2.1e-05,3.7199999999999996e-05,5.2e-05,58.17578125,12700022.0,63.50010999999999,,,,,,,254.99835,,,,
core:replay,server,1M,core256/insert,core,ok,5,0.1686838898,1187699.1639915998,0.0008244,0.0010468,0.0012418,58.17578125,12700022.0,63.50010999999999,,,,,,,,,,,
core:replay,server,1M,core256/match_batch,core,ok,5,0.0021767902,92325513.6694854,1.0884e-05,1.0884e-05,1.0884e-05,58.17578125,12700022.0,63.50010999999999,,,,,,,254.99835,,,,
