track,dataset_id,tier,scale,algorithm,status,qps,lat_p95_ms,index_mb,rss_mb,bytes_per_insert,recall_at_k,error_bits_min_hamming,qps_per_index_mb,qps_per_rss_mb
core,core:random,edge,1M,core256/insert,ok,1155052.483997,0.000923,12.111795425415039,58.17578125,63.50069,,,95365.91755614294,19854.52466952474
core,core:random,server,1M,core256/match_batch,ok,89937358.629714,1.1119e-05,12.111795425415039,58.17578125,63.50069,,,7425600.868471743,1545958.7597667887
core,core:random,server,1M,core256/match_batch,ok,89527478.44514,1.117e-05,12.111412048339844,58.17578125,63.49868,,,7391993.442862995,1538913.213050147
core,core:random,server,1M,core256/match_batch,ok,89288982.900267,1.12e-05,12.111602783203125,58.17578125,63.49968,,,7372185.5396460565,1534813.6455024746
core,core:random,server,1M,core256/match_batch,ok,87896247.269723,1.1377e-05,12.111639022827148,58.17578125,63.49987,,,7257171.973509321,1510873.5178304631
core,core:random,server,1M,core256/match_batch,ok,75102054.304042,1.3315e-05,12.111665725708008,58.17578125,63.50001,,,6200803.093882594,1290950.507072769
core,core:random,server,1M,core256/predict,ok,24503894.15886,3.7e-05,12.111795425415039,58.17578125,63.50069,,,2023143.0021879121,421204.3849236662
core,core:random,server,1M,core256/probe,ok,24461860.473706,3.6e-05,12.111412048339844,58.17578125,63.49868,,,2019736.4581497398,420481.855990649
core,core:random,server,1M,core256/predict,ok,24343738.455743,3.7e-05,12.111412048339844,58.17578125,63.49868,,,2009983.5063476257,418451.4231296722
core,core:random,server,1M,core256/probe,ok,24317262.459861,3.8e-05,12.111795425415039,58.17578125,63.50069,,,2007733.9160496686,417996.3197290281
core,core:random,server,1M,core256/predict,ok,24232690.044266,3.8e-05,12.111639022827148,58.17578125,63.49987,,,2000777.1036268473,416542.58049634704
core,core:random,server,1M,core256/probe,ok,24050677.663919,3.7e-05,12.111639022827148,58.17578125,63.49987,,,1985749.2135118963,413413.91807985393
core,core:random,server,1M,core256/probe,ok,23197114.464538,3.7e-05,12.111602783203125,58.17578125,63.49968,,,1915280.3208431443,398741.7782126991
core,core:random,server,1M,core256/predict,ok,22729576.679818,4e-05,12.111602783203125,58.17578125,63.49968,,,1876677.850708605,390705.1386579875
core,core:random,server,1M,core256/predict,ok,21914189.075842,4.3e-05,12.111665725708008,58.17578125,63.50001,,,1809345.5988739294,376689.2099251697
core,core:random,server,1M,core256/probe,ok,21484019.380734,4.3e-05,12.111665725708008,58.17578125,63.50001,,,1773828.6266547467,369294.901058746
core,core:random,server,1M,core256/insert,ok,1200350.855353,0.000938,12.111639022827148,58.17578125,63.49987,,,99107.218526796,20633.171219389515
core,core:random,server,1M,core256/insert,ok,1189977.929717,0.00118,12.111665725708008,58.17578125,63.50001,,,98250.5591440799,20454.868059326665
