run_id,track,dataset_id,tier,scale,algorithm,status,framework,qps,lat_p50_ms,lat_p95_ms,lat_p99_ms,build_time_s,rss_mb,index_bytes,bytes_per_insert,recall_at_k,recall_at_k_id_overlap,recall_at_k_tie_aware,error_bits_min_hamming,error_bits_prefix_gap,hamming_audit_gap,online_accuracy,online_f1,update_latency_ms,adaptation_lag_steps,reason
20260405T162225Z_22f14610,ann,openml:adult,server,1M,reference-exact-hamming,ok,internal_exact,212.48556353678407,4.712820053100586,4.81104850769043,4.841089248657227,0.0,325.57421875,1600000,32.0,1.0,1.0,1.0,0.0,,0.0,,,,,
20260405T162225Z_22f14610,ann,synthetic_binary256,desktop,1M,faiss-binary-flat,ok,faiss,73.88598179408021,17.19498634338379,32.531023025512695,42.97494888305664,0.00010013580322265625,373.11328125,1600000,32.0,1.0,0.78125,1.0,0.0,,0.0,,,,,
20260405T162225Z_22f14610,ann,synthetic_binary256,desktop,1M,hnswlib-l2-bits,ok,hnswlib,11686.286252251566,0.0820159912109375,0.10895729064941406,0.11801719665527344,2.192330837249756,373.11328125,1600000,32.0,0.9421875,0.7015625,0.9421875,0.314453125,,0.23076923076923078,,,,,
20260405T162225Z_22f14610,ann,synthetic_binary256,desktop,1M,nmslib-hnsw-l2-bits,ok,nmslib,18294.205850782888,0.04792213439941406,0.06794929504394531,0.07486343383789062,5.976781129837036,373.11328125,1600000,32.0,0.9,0.68125,0.9,0.275390625,,0.15384615384615385,,,,,
20260405T162225Z_22f14610,ann,synthetic_binary256,desktop,1M,reference-exact-hamming,ok,internal_exact,231.58526176936584,4.307985305786133,4.364967346191406,4.39000129699707,0.0,373.11328125,1600000,32.0,1.0,1.0,1.0,0.0,,0.0,,,,,
20260405T162225Z_22f14610,ann,synthetic_binary256,edge,1M,faiss-binary-flat,ok,faiss,57.088038294123585,18.330812454223633,36.505937576293945,45.722007751464844,9.703636169433594e-05,386.5625,1600000,32.0,1.0,0.78125,1.0,0.0,,0.0,,,,,
20260405T162225Z_22f14610,ann,synthetic_binary256,edge,1M,hnswlib-l2-bits,ok,hnswlib,8732.7322294154,0.08606910705566406,0.11610984802246094,0.8840560913085938,1.9288749694824219,386.5625,1600000,32.0,0.9765625,0.74375,0.9765625,0.283203125,,0.23076923076923078,,,,,
20260405T162225Z_22f14610,ann,synthetic_binary256,edge,1M,nmslib-hnsw-l2-bits,ok,nmslib,18038.350354049944,0.04601478576660156,0.07200241088867188,0.08511543273925781,6.261483907699585,386.8515625,1600000,32.0,0.9390625,0.70546875,0.9390625,0.244140625,,0.46153846153846156,,,,,
20260405T162225Z_22f14610,ann,synthetic_binary256,edge,1M,reference-exact-hamming,ok,internal_exact,229.7600599830784,4.308938980102539,5.511999130249023,7.051944732666016,0.0,386.5625,1600000,32.0,1.0,1.0,1.0,0.0,,0.0,,,,,
20260406T000140Z_669d8f63,ann,synthetic_binary256,server,100M,faiss-binary-flat,ok,faiss,14.649574782308958,62.976837158203125,107.96999931335449,125.97298622131348,0.0043811798095703125,89.31640625,12800000,32.0,1.0,0.303125,1.0,0.0,,0.0,,,,,
