dataset_id,tier,scale,algorithm,track,status,n_runs,build_time_s,qps,lat_p50_ms,lat_p95_ms,lat_p99_ms,rss_mb,index_bytes,bytes_per_insert,recall_at_k,recall_at_k_id_overlap,recall_at_k_tie_aware,update_latency_ms,energy_proxy,error_bits_min_hamming,error_bits_prefix_gap,hamming_audit_gap,online_accuracy,online_f1,adaptation_lag_steps
core:adversarial,server,100M,core256/predict,core,ok,5,0.0604706988,33075144.1807688,1.3e-05,1.4200000000000001e-05,1.6000000000000003e-05,4365.38671875,3003980.0,1.50199,,,,,,,,,,,
core:adversarial,server,100M,core256/probe,core,ok,5,0.060838297,32874244.099198997,1.3e-05,1.3999999999999998e-05,1.54e-05,4365.38671875,3003980.0,1.50199,,,,,,,256.0,,,,
core:adversarial,server,10M,core256/insert,core,ok,5,0.1916780608,4177768.2796233995,0.000214,0.00023779999999999998,0.00029099999999999997,4365.38671875,1201668.0,1.502085,,,,,,,,,,,
core:adversarial,server,10M,core256/match_batch,core,ok,5,0.0020857662,384145816.3564308,2.6072e-06,2.6072e-06,2.6072e-06,4365.38671875,1201668.0,1.502085,,,,,,,256.0,,,,
core:adversarial,server,10M,core256/predict,core,ok,5,0.0245828728,32589972.220148005,1.3199999999999999e-05,1.54e-05,1.72e-05,4365.38671875,1201668.0,1.502085,,,,,,,,,,,
core:adversarial,server,10M,core256/probe,core,ok,5,0.0242744932,32956725.5507738,1.3e-05,1.3999999999999998e-05,1.5799999999999998e-05,4365.38671875,1201668.0,1.502085,,,,,,,256.0,,,,
core:adversarial,server,1M,core256/insert,core,ok,5,0.2359135692,4239482.7793054,0.0002144,0.0002448,0.000324,43.83984375,1502026.0,1.502026,,,,,,,,,,,
core:adversarial,server,1M,core256/match_batch,core,ok,5,0.0025896754,386204226.5715394,2.5898e-06,2.5898e-06,2.5898e-06,43.83984375,1502026.0,1.502026,,,,,,,256.0,,,,
core:adversarial,server,1M,core256/predict,core,ok,5,0.0304764194,32819696.978643797,1.3e-05,1.56e-05,1.8e-05,43.83984375,1502026.0,1.502026,,,,,,,,,,,
core:adversarial,server,1M,core256/probe,core,ok,5,0.0305003076,32787364.4214966,1.3e-05,1.4400000000000001e-05,1.66e-05,43.83984375,1502026.0,1.502026,,,,,,,256.0,,,,
core:clustered,desktop,100M,core256/insert,core,ok,5,1.3016826016,1536491.6552578001,0.0006758000000000001,0.0006994,0.001065,8427.0546875,123473944.8,61.7369724,,,,,,,,,,,
core:clustered,desktop,100M,core256/match_batch,core,ok,5,0.0151364152,136999522.0384486,7.5682e-06,7.5682e-06,7.5682e-06,8427.0546875,123473944.8,61.7369724,,,,,,,254.60883429999998,,,,
core:clustered,desktop,100M,core256/predict,core,ok,5,0.0710293614,28211414.946007997,1.7e-05,2.6e-05,3.1e-05,8427.0546875,123473944.8,61.7369724,,,,,,,,,,,
core:clustered,desktop,100M,core256/probe,core,ok,5,0.070924633,28256632.405283798,1.68e-05,2.5799999999999997e-05,3.06e-05,8427.0546875,123473944.8,61.7369724,,,,,,,254.60883429999998,,,,
core:clustered,desktop,10M,core256/insert,core,ok,5,0.5233497728,1528740.1750858,0.0006762,0.000701,0.0009122,8427.0546875,49388388.8,61.735486,,,,,,,,,,,
core:clustered,desktop,10M,core256/match_batch,core,ok,5,0.006061553,137303564.3485868,7.5768e-06,7.5768e-06,7.5768e-06,8427.0546875,49388388.8,61.735486,,,,,,,254.60967325000001,,,,
core:clustered,desktop,10M,core256/predict,core,ok,5,0.0282486644,28386720.4165038,1.7e-05,2.6199999999999996e-05,2.98e-05,8427.0546875,49388388.8,61.735486,,,,,,,,,,,
core:clustered,desktop,10M,core256/probe,core,ok,5,0.0282896386,28342193.142190598,1.7e-05,2.54e-05,2.94e-05,8427.0546875,49388388.8,61.735486,,,,,,,254.60967325000001,,,,
core:clustered,desktop,1M,core256/insert,core,ok,5,0.6482258388,1542772.7848336,0.0006751999999999999,0.0006942000000000001,0.0009284,8427.0546875,61735617.2,61.7356172,,,,,,,,,,,
